f67b70a4-7d9a-11f0-a7f9-000000000000,The Band of His Majesty’s Royal Marines Plymouth,,Band2,ExhibitionArchitect,334cfbfc-ece8-41a1-ae26-f5ff33f0ac22
4963f288-7d0e-11f0-a757-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555555
2b1c796c-7d0e-11f0-adbb-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555556
1223e76a-7d0e-11f0-a403-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555558
02eb2c90-7d0e-11f0-bbbb-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555557
f47c61d8-7d0d-11f0-ae93-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555560
e3e54164-7d0d-11f0-beba-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555559
c8027a02-7d0d-11f0-b26e-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555561
b6b2d3fa-7d0d-11f0-88fd-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555563
abd58798-7d0d-11f0-b828-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555562
989bee06-7d0d-11f0-8830-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555565
876f29e0-7d0d-11f0-a190-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555564
6fe76be8-7d0d-11f0-8a94-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555566
5f8c301c-7d0d-11f0-ad25-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555568
54ef1304-7d0d-11f0-891e-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555567
467823ec-7d0d-11f0-abe2-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555570
3665be06-7d0d-11f0-bd2c-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555569
27f42d12-7d0d-11f0-b134-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555572
17dfc792-7d0d-11f0-816b-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555571
01c2d882-7d0d-11f0-8e0a-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555573
f2135f92-7d0c-11f0-8b55-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555575
e918867e-7d0c-11f0-abec-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555574
d93ae184-7d0c-11f0-84b8-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555577
c944dfd2-7d0c-11f0-9089-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555576
b326e9ac-7d0c-11f0-911e-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555578
a38fa1fa-7d0c-11f0-80de-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555580
9a993944-7d0c-11f0-8e52-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555579
83ca8eac-7d0c-11f0-9461-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555581
7309009e-7d0c-11f0-8f18-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555583
691e917a-7d0c-11f0-b0f4-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555582
5aef8db6-7d0c-11f0-b764-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555585
495f095a-7d0c-11f0-9e67-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555584
26bbdc3e-7d0c-11f0-a170-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555586
16b83c60-7d0c-11f0-9bfa-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555588
0d9af776-7d0c-11f0-8a4d-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555587
ff60bd4e-7d0b-11f0-868d-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555590
f0797abe-7d0b-11f0-8d14-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555589
da09b942-7d0b-11f0-9c7a-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555591
c0428570-7d0b-11f0-b3c3-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555593
b5d04aa0-7d0b-11f0-b177-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555592
a7a3916c-7d0b-11f0-9f63-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555595
9e53a354-7d0b-11f0-a2ac-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555594
8db3d320-7d0b-11f0-85fd-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555596
75cf758e-7d0b-11f0-a19c-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555597
64d501d6-7d0b-11f0-9eb3-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555599
5b4bfdb8-7d0b-11f0-a1ef-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555598
4a28e046-7d0b-11f0-93bd-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555601
3a751746-7d0b-11f0-b1fe-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555600
22a7e4cc-7d0b-11f0-ac1f-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555602
170e4ffc-7d0b-11f0-92a0-000000000000,The Band of the Welsh Guards,,Band1,ExhibitionArchitect,555555603
fcbd2ef8-7c55-11f0-8f10-000000000000,Acacia Systems,,S2-110,ExhibitionArchitect,2951
d9b462f0-7c55-11f0-af0d-000000000000,Sightline Intelligence,,S2-110,ExhibitionArchitect,2952
c0fd1036-7c55-11f0-bea4-000000000000,Bale Defence,,S2-110,ExhibitionArchitect,2954
b3abe47a-7c55-11f0-9f32-000000000000,Av-Comm Space & Defence,,S2-110,ExhibitionArchitect,2953
9c3c2e62-7c55-11f0-8a3b-000000000000,Craig International Ballistics,,S2-110,ExhibitionArchitect,2956
835ba972-7c55-11f0-89e7-000000000000,Conflux Technology,,S2-110,ExhibitionArchitect,2955
602f5ca0-7c55-11f0-a1ed-000000000000,DA-Design Oy,,N8-250,ExhibitionArchitect,2957
47990d08-7c55-11f0-bdfa-000000000000,GuardWare,,S2-110,ExhibitionArchitect,2959
3a1431ee-7c55-11f0-870b-000000000000,Dobbelgänger,,N8-250,ExhibitionArchitect,2958
2089e886-7c55-11f0-9a6a-000000000000,Insitu Pacific Pty Ltd,,S2-110,ExhibitionArchitect,2961
08a21d88-7c55-11f0-a4af-000000000000,Hypersonix Launch Systems,,S2-110,ExhibitionArchitect,2960
e4f7b8c0-7c54-11f0-ae6b-000000000000,Intelliconnect Europe Ltd,,S11-101,ExhibitionArchitect,2962
cc7172e6-7c54-11f0-af50-000000000000,Nautic Technologies PTY LTD,,S2-110,ExhibitionArchitect,2964
bdf23250-7c54-11f0-b064-000000000000,Ontario-Canada Government,,S5-358,ExhibitionArchitect,2963
9976c012-7c54-11f0-8c5f-000000000000,Nexus Training Solutions,,S2-110,ExhibitionArchitect,2965
7413a8a8-7c54-11f0-af27-000000000000,SABRN Tech,,S2-110,ExhibitionArchitect,2967
667e8190-7c54-11f0-bf33-000000000000,Penguin Composites,,S2-110,ExhibitionArchitect,2966
4f019908-7c54-11f0-877b-000000000000,Saskatchewan Trade & Export Partnership (STEP),,S5-356,ExhibitionArchitect,2969
41d1d63a-7c54-11f0-ac1d-000000000000,Safesky Systems Pty Ltd,,S2-110,ExhibitionArchitect,2968
1ea64718-7c54-11f0-b211-000000000000,Sovereign Propulsion Systems,,S2-110,ExhibitionArchitect,2970
ff8fefbe-7c53-11f0-a0a2-000000000000,Black6,,S2-110,ExhibitionArchitect,2972
f164c6bc-7c53-11f0-84e6-000000000000,Summa Defence,,N8-250,ExhibitionArchitect,2971
d07e58c8-7c53-11f0-8f99-000000000000,Solace Communications,,S14-120,ExhibitionArchitect,2950
c038dd62-7c53-11f0-bdf1-000000000000,Politico,,MP1,ExhibitionArchitect,50033
5310b36e-7c3e-11f0-9b00-000000000000,Beth Badges Test 18/08/2025,,A123,,
fcf502a8-7703-11f0-9b67-000000000000,Smiths Detection Group Ltd,,Trinity 04,ExhibitionArchitect,2870
e09f68f0-7703-11f0-ab9d-000000000000,EY,,Greenwich 04,ExhibitionArchitect,2871
c4d4cf52-7703-11f0-80a6-000000000000,Windracers Limited,,SME8,ExhibitionArchitect,2886
b3ce9b52-7703-11f0-bca8-000000000000,Deployed Logix,,S5-133,ExhibitionArchitect,2888
a8193902-7703-11f0-9cb6-000000000000,Oxford Dynamics,,SME10,ExhibitionArchitect,2887
8da4ed5a-7703-11f0-83a0-000000000000,Detac Arms LLC,,S5-133,ExhibitionArchitect,2889
7a793e20-7703-11f0-98b3-000000000000,CRITICAL INFRASTRUCTURE TECHNOLOGIES PTY LTD,,S2-110,ExhibitionArchitect,2891
6f487f34-7703-11f0-be40-000000000000,Maya HTT UK Ltd.,,N4-110,ExhibitionArchitect,2890
5d4a2562-7703-11f0-9386-000000000000,Adarga,,S14-200,ExhibitionArchitect,2893
4aa5f440-7703-11f0-b70d-000000000000,RTC North Ltd,,N4-110,ExhibitionArchitect,2892
2fef08e4-7703-11f0-a925-000000000000,Solarcore,,S5-133,ExhibitionArchitect,2894
1dc1dca0-7703-11f0-b2f8-000000000000,"Safe Boats International, LLC",,S5-133,ExhibitionArchitect,2896
1264c5b6-7703-11f0-9c95-000000000000,Sightline Intelligence,,S5-133,ExhibitionArchitect,2895
f8450a74-7702-11f0-bd78-000000000000,Kromek,,N4-110,ExhibitionArchitect,2897
e66ae1ca-7702-11f0-81ea-000000000000,nLight,,S5-133,ExhibitionArchitect,2899
daf2b9e4-7702-11f0-b78c-000000000000,Power4Flight,,S5-133,ExhibitionArchitect,2898
c817bb1c-7702-11f0-93ac-000000000000,"New Use Energy Solutions, Inc.",,S5-133,ExhibitionArchitect,2901
b59be62a-7702-11f0-a2a0-000000000000,"Lewis Defense, LLC",,S5-133,ExhibitionArchitect,2903
a2e2e43e-7702-11f0-9b67-000000000000,"Montana Armament Group, LLC",,S5-133,ExhibitionArchitect,2902
892d5506-7702-11f0-ae82-000000000000,Guzzle H2O,,S5-133,ExhibitionArchitect,2904
762ac9fc-7702-11f0-88f1-000000000000,"Gladiator Technologies, LLC.",,S5-133,ExhibitionArchitect,2906
6b8a6a48-7702-11f0-acb2-000000000000,"Grovtec USA, Inc.",,S5-133,ExhibitionArchitect,2905
591fea4a-7702-11f0-a019-000000000000,CG Strategic LLC,,S5-133,ExhibitionArchitect,2908
477955e2-7702-11f0-a119-000000000000,CV International,,S5-133,ExhibitionArchitect,2907
305be492-7702-11f0-a07b-000000000000,Cold Avenger,,S5-133,ExhibitionArchitect,2909
1daaaacc-7702-11f0-81a9-000000000000,Dowty,,S3-112,ExhibitionArchitect,2911
0b8e10a4-7702-11f0-a48f-000000000000,"Engineering Design Team (EDT), Inc",,S5-133,ExhibitionArchitect,2910
f0b3b20c-7701-11f0-90df-000000000000,entX Limited,,S2-110,ExhibitionArchitect,2912
de221c6e-7701-11f0-a8e4-000000000000,Patriot3,,N5-260,ExhibitionArchitect,2914
d29f4920-7701-11f0-a099-000000000000,Teledyne Marine,,S3-110,ExhibitionArchitect,2913
b7f29c30-7701-11f0-beee-000000000000,OSK Design,,N9-260,ExhibitionArchitect,2915
a4c5260a-7701-11f0-bde2-000000000000,Cargofit Oy,,N8-250,ExhibitionArchitect,2917
99a716a2-7701-11f0-a133-000000000000,Tundra Proving Ground Oy,,N8-250,ExhibitionArchitect,2916
7ac0d30e-7701-11f0-bbee-000000000000,Volair Technologies Inc.,,S5-133,ExhibitionArchitect,2918
682f64c6-7701-11f0-8587-000000000000,"TLG Aerospace, LLC",,S5-133,ExhibitionArchitect,2920
59a547e0-7701-11f0-8377-000000000000,Slate Solutions,,S5-355,ExhibitionArchitect,2919
48628fd8-7701-11f0-9fe0-000000000000,TiConnector,,S5-133,ExhibitionArchitect,2922
36680434-7701-11f0-8810-000000000000,Zepher Fight Laboratories,,S5-133,ExhibitionArchitect,2921
1b30f612-7701-11f0-87cf-000000000000,LLC SUBmerge Baltic,,N10-320,ExhibitionArchitect,2923
09173f7c-7701-11f0-882f-000000000000,Aerosphere Power,,S4-206,ExhibitionArchitect,2927
fd4a5bb6-7700-11f0-99c5-000000000000,4GD Limited,,N5-220,ExhibitionArchitect,2926
e32e39a0-7700-11f0-b1c5-000000000000,Astute Systems Pty Ltd,,S2-110,ExhibitionArchitect,2928
cce8cc5a-7700-11f0-8d5c-000000000000,Bell - Textron,,S4-205,ExhibitionArchitect,2930
c17d6182-7700-11f0-8a90-000000000000,Aurora Labs Ltd,,S2-110,ExhibitionArchitect,2929
ade9c160-7700-11f0-a744-000000000000,CALLINGTON HAVEN PTY LTD,,S2-110,ExhibitionArchitect,2932
9beed824-7700-11f0-964b-000000000000,CAD Energetics,,S4-206,ExhibitionArchitect,2931
8ab05bbe-7700-11f0-ae05-000000000000,Digia Finland Ltd,,N8-250,ExhibitionArchitect,2934
78aac1f2-7700-11f0-bef3-000000000000,Civilian Warfighter LLC,,S5-133,ExhibitionArchitect,2933
657b27ca-7700-11f0-a8b7-000000000000,EARLY BIRDS MARKETPLACE PTY LTD,,S2-110,ExhibitionArchitect,2935
42779452-7700-11f0-8d00-000000000000,Nikon SLM Solutions AG,,S5-233,ExhibitionArchitect,2900
3101d264-7700-11f0-84f3-000000000000,Titomic,,S5-331,ExhibitionArchitect,2944
1fa527dc-7700-11f0-8011-000000000000,GaardTech,,S2-110,ExhibitionArchitect,2937
0dbaed7c-7700-11f0-8356-000000000000,EOS,,S2-110,ExhibitionArchitect,2936
f412ddc6-76ff-11f0-8d6d-000000000000,HOLMWOOD HIGHGATE (AUST.) PTY. LTD.,,S2-110,ExhibitionArchitect,2938
e10ba578-76ff-11f0-a159-000000000000,MoTeC Pty Ltd,,S2-110,ExhibitionArchitect,2940
d52ec122-76ff-11f0-bfa5-000000000000,JVAT,,S2-110,ExhibitionArchitect,2939
c2af71f4-76ff-11f0-890c-000000000000,Radlink,,S2-110,ExhibitionArchitect,2942
af434898-76ff-11f0-a180-000000000000,Oy Mapromec Ab,,N8-250,ExhibitionArchitect,2941
9bcce99a-76ff-11f0-80d7-000000000000,"Textron Aviation Inc., A Kansas Corporation",,S4-205,ExhibitionArchitect,2943
89a45e7e-76ff-11f0-8361-000000000000,Weapons Aerospace & Research,,S5-133,ExhibitionArchitect,2946
701b7f82-76ff-11f0-a5b2-000000000000,Velocity-One,,S4-206,ExhibitionArchitect,2945
bf2e0bee-7150-11f0-8364-000000000000,INVISIO Communications,,S13-510,ExhibitionArchitect,2863
aeed9e20-7150-11f0-98b3-000000000000,Suprobox,,N2-110,ExhibitionArchitect,2864
959e3308-7150-11f0-aec6-000000000000,Platform Aerospace,,S3-330,ExhibitionArchitect,2865
d4b742a4-70b6-11f0-82fb-000000000000,Moog Controls,,C-05,ExhibitionArchitect,2855
bdb50fa0-70b6-11f0-92d2-000000000000,Google Cloud,,Albert 001,ExhibitionArchitect,2856
9873fd5a-70b6-11f0-8058-000000000000,Anduril Industries UK Ltd,,NA00,ExhibitionArchitect,2857
86a1d43a-70b6-11f0-a8f4-000000000000,AERONAUTICS,,N10-210,ExhibitionArchitect,2859
59d54a4a-70b6-11f0-9c71-000000000000,Ercon,,N10-320,ExhibitionArchitect,2858
4184f922-70b6-11f0-9c20-000000000000,Aeronix Technologies Group,,S4-133,ExhibitionArchitect,2860
36321cbc-70b6-11f0-9774-000000000000,Rosebank Engineering Pty Ltd,,S2-110,ExhibitionArchitect,2862
9ccac536-6bf3-11f0-b058-000000000000,Armada Intermational,,MP1,ExhibitionArchitect,50009
7c336828-6bf3-11f0-9b30-000000000000,Defence Global,,MP1,ExhibitionArchitect,50010
633d0cfc-6bf3-11f0-925f-000000000000,Global Defence Technology,,MP1,ExhibitionArchitect,50012
40461f86-6bf3-11f0-91c7-000000000000,Airmed&Rescue,,MP1,ExhibitionArchitect,50014
2a6176ca-6bf3-11f0-bd3c-000000000000,Global Defense Insight,,MP1,ExhibitionArchitect,50013
122fd6fa-6bf3-11f0-81b3-000000000000,Naval News,,MP1,ExhibitionArchitect,50015
f90ce4c4-6bf2-11f0-ade0-000000000000,Defence Procurement International,,MP1,ExhibitionArchitect,50016
e237f180-6bf2-11f0-8409-000000000000,Mittler Report Verlag,,MP1,ExhibitionArchitect,50018
cbe21d3e-6bf2-11f0-8e54-000000000000,ADS Advance,,MP1,ExhibitionArchitect,50017
672c6ef8-6bf2-11f0-91e6-000000000000,MS&T,,MP1,ExhibitionArchitect,50023
2ed0e944-6bf2-11f0-9307-000000000000,Navy Lookout,,MP1,ExhibitionArchitect,50024
